source_paper,source_table,source_lines,alloy,gamma_mol_pct,gamma_prime_mol_pct,M23C6_mol_pct,NbC_mol_pct,TCP_phases,notes
paper1,Table 5,1424-1445,Inconel 740H,81.6,17.8,0.6,0.1,none_reported,computed by Thermo-Calc and TTNi8 at 750 C
paper1,Table 5,1424-1445,Haynes 282,72.7,19.6,1.4,NA,"3.0 sigma; 3.2 mu",computed by Thermo-Calc and TTNi8 at 750 C; TCP line reconstructed from fragmented extraction
paper1,Table 5,1424-1445,Alloy A,72.9,24.9,2.1,NA,None by design,computed by Thermo-Calc and TTNi8 at 750 C
