rank,feasible,total_penalty,wt_Al,wt_Co,wt_Cr,wt_Mo,wt_Nb,wt_Ni,wt_Ta,wt_Ti,wt_W,creep_strength_proxy_mpa,cost_usd_per_kg,density_g_cm3,misfit_abs_pct,constraint_ni_balance_wt_pct,constraint_free_cr_at_pct_proxy,constraint_gamma_prime_pct_proxy,constraint_tcp_risk_proxy,constraint_btr_proxy_k,penalty_ni_balance_wt_pct,penalty_free_cr_at_pct_proxy,penalty_gamma_prime_pct_proxy,penalty_tcp_risk_proxy,penalty_btr_proxy_k
38,True,0.0,3.443047,10.153326,17.606988,0.34109,1.004238,59.158449,5.59191,2.620116,0.080836,618.559076,26.110549,7.947596,0.040786,59.158449,18.482643,59.93582,0.89744,54.860771,0.0,0.0,0.0,0.0,0.0
39,True,0.0,2.188371,17.540152,16.762758,1.972192,0.255751,52.120634,4.584696,3.878422,0.697023,626.918054,26.27081,8.089621,0.076765,52.120634,17.76665,53.830133,1.174706,56.288002,0.0,0.0,0.0,0.0,0.0
40,True,0.0,3.43628,10.153326,14.902917,0.321418,1.25026,61.761756,5.429871,2.709046,0.035125,620.626398,26.297989,7.98036,0.024609,61.761756,15.467667,59.961432,0.795463,56.020176,0.0,0.0,0.0,0.0,0.0
41,True,0.0,3.443047,10.149041,17.610597,0.34099,1.004238,58.015563,5.59191,2.620116,1.224499,623.612266,26.360894,7.991415,0.0511,58.015563,18.629606,59.93582,1.050025,58.863189,0.0,0.0,0.0,0.0,0.0
42,True,0.0,3.443047,16.17896,21.513772,0.34109,0.522579,49.678757,5.59191,2.606742,0.123143,642.184753,26.419853,7.885989,0.064768,49.678757,22.768347,59.619758,1.025168,51.637236,0.0,0.0,0.0,0.0,0.0
43,True,0.0,2.283029,18.064584,16.793995,0.340029,0.973614,50.715196,4.717667,3.876537,2.235348,646.17049,26.719801,8.120582,0.069833,50.715196,17.791076,55.337168,1.115414,60.434469,0.0,0.0,0.0,0.0,0.0
44,True,0.0,2.188371,17.614409,17.175461,1.972192,1.901433,49.999849,4.683155,3.878332,0.586799,643.049941,26.969816,8.076793,0.077266,49.999849,18.051266,54.984763,1.177829,67.618901,0.0,0.0,0.0,0.0,0.0
45,True,0.0,2.291435,18.064584,16.793995,0.340932,0.973614,49.774701,5.589612,3.876537,2.294589,660.489635,28.144325,8.151795,0.061505,49.774701,17.851326,58.343034,1.16706,62.38931,0.0,0.0,0.0,0.0,0.0
46,True,0.0,3.166308,13.908087,17.614107,2.241872,0.620593,53.220859,7.234374,1.67605,0.317751,637.479605,29.931575,8.145194,0.063755,53.220859,19.067923,57.901398,1.328172,63.892513,0.0,0.0,0.0,0.0,0.0
47,True,0.0,3.166308,13.908087,16.63398,2.241872,0.620593,54.214361,7.234374,1.662676,0.317751,641.040164,30.069595,8.163582,0.058035,54.214361,17.977517,57.826166,1.297543,63.892513,0.0,0.0,0.0,0.0,0.0
